topic,Count,Name,Representation,Representative_Docs,dominant_emotion
152,16,152_haiyan_help_need_ground,"['haiyan', 'help', 'need', 'ground', 'dt', 'yolandaph', 'zero', 'your', 'restaurant', 'dfat']","['rt : we need your help! haiyan', 'rt : we need your help! haiyan', 'rt : we need your help! haiyan']",trust
153,16,153_join_families_their_praying,"['join', 'families', 'their', 'praying', 'me', 'texas', 'explosion', 'please', 'victims', 'and']","['rt : please join me in praying for the victims of the explosion in texas and their families.', 'rt : please join me in praying for the victims of the explosion in texas and their families.', 'rt : please join me in praying for the victims of the explosion in texas and their families.']",trust
154,16,154_unicef_kids_efforts_children,"['unicef', 'kids', 'efforts', 'children', 'support', 'emergency', 'haiyan', 'phils', 'statement', 'relief']","['rt : support unicef’s emergency relief efforts for kids in the philippines. how to help: haiyan', 'rt : support unicef’s emergency relief efforts for kids in the philippines. how to help: haiyan', 'rt : support unicef’s emergency relief efforts for kids in the philippines. how to help: haiyan']",trust
155,16,155_tragedia_pesame_victimas_sentido,"['tragedia', 'pesame', 'victimas', 'sentido', 'las', 'víctimas', 'familiares', 'mas', 'mi', 'los']","['rt : mi mas sentido pesame a los familiares de las victimas de la tragedia de tren en santiago de compostela.', 'rt : mi mas sentido pesame a los familiares de las victimas de la tragedia de tren en santiago de compostela.', 'rt : mi mas sentido pesame a los familiares de las victimas de la tragedia de tren en santiago de compostela.']",sadness
156,15,156_obama_president_forgotten_texas,"['obama', 'president', 'forgotten', 'texas', 'west', 'memorial', 'consoles', 'attends', 'them', 'tcot']","['“ : president obama to those in west texas: you are not forgotten', ""obama's words: president obama attends a memorial for those who died in the blast in west, texas."", ""obama's words: president obama attends a memorial for those who died in the blast in west, texas.""]",trust
157,15,157_virgin_islands_september_region,"['virgin', 'islands', 'september', 'region', 'gmt', 'depth', 'edt', 'hmrd', 'sep', 'bst']","['earthquake m . , virgin islands region: september , : : gmt', 'earthquake m . , virgin islands region: september , : : gmt', 'earthquake m . , virgin islands region: september , : : gmt']",trust
158,15,158_beverly_hills_beverlyhills_mag,"['beverly', 'hills', 'beverlyhills', 'mag', 'prelim', 'upgraded', 'rattles', 'breakingnews', 'earthquake', 'looks']","['rt : breakingnews: prelim . -mag. earthquake rattles beverly hills. did you feel it?', 'rt : breakingnews: prelim . -mag. earthquake rattles beverly hills. did you feel it?', 'rt : breakingnews: prelim . -mag. earthquake rattles beverly hills. did you feel it?']",trust
159,15,159_bayarea_oc_wp_royalty,"['bayarea', 'oc', 'wp', 'royalty', 'oakland', 'seo', 'smm', 'turnup', 'sf', 'blogs']","['king d royalty … la lax oakland sf bayarea vegas losangeles cali seo smm wp oc music blogs turnup', 'king d royalty … la lax oakland sf bayarea vegas losangeles cali seo smm wp oc music blogs turnup', 'king d royalty … la lax oakland sf bayarea vegas losangeles cali seo smm wp oc music blogs turnup']",trust
160,15,160_interior_ministry_spectacular_shower,"['interior', 'ministry', 'spectacular', 'shower', 'russianmeteor', 'injured', 'least', 'people', 'метеорит', 'surprise']","['rt : at least people injured in spectacular russianmeteor shower - interior ministry ...', 'rt : at least people injured in spectacular russianmeteor shower - interior ministry ...', 'rt : at least people injured in spectacular russianmeteor shower - interior ministry ...']",sadness
161,15,161_fufu_tv_mobile_live,"['fufu', 'tv', 'mobile', 'live', 'rescueph', 'your', 'free', 'camgirlsaction', 'on', 'www']","['rescueph live tv on your mobile, fufu', 'rescueph live tv on your mobile, fufu', 'rescueph live tv on your mobile, fufu']",trust
162,15,162_downtown_closures_yycflood_closed,"['downtown', 'closures', 'yycflood', 'closed', 'tomorrow', 'yyc', 'core', 'clear', 'road', 'number']","['rt : please stay clear of downtown tomorrow (if you can). there will be a number of road closures. yycflood yyc', 'rt : please stay clear of downtown tomorrow (if you can). there will be a number of road closures. yycflood yyc', 'rt : please stay clear of downtown tomorrow (if you can). there will be a number of road closures. yycflood yyc']",trust
163,15,163_barcelona_fc_expresar_pésame,"['barcelona', 'fc', 'expresar', 'pésame', 'sincero', 'quiere', 'víctimas', 'compostela', 'santiago', 'accidente']","['rt : el fc barcelona quiere expresar su más sincero pésame por las víctimas del accidente de tren en santiago de compostela …', 'rt : el fc barcelona quiere expresar su más sincero pésame por las víctimas del accidente de tren en santiago de compostela …', 'rt : el fc barcelona quiere expresar su más sincero pésame por las víctimas del accidente de tren en santiago de compostela …']",anger
164,15,164_alaska_september_islands_aleutian,"['alaska', 'september', 'islands', 'aleutian', 'southern', 'gmt', 'earthquake', 'deprem', 'fox', 'mb']","['earthquake: m . , southern alaska', 'earthquake: m . , southern alaska', 'earthquake m . , southern alaska']",trust
165,15,165_zoo_animals_hippos_calgary,"['zoo', 'animals', 'hippos', 'calgary', 'yycflood', 'sheltered', 'rumour', 'animal', 'clarifying', 'yyc']","['mt : zoo animals needed to be moved out of the zoo, some in place: not gone to jail as said earlier city yycflood', 'what is happening to the animals at the zoo? yycflood', 'i hope they got all the animals out of the calgary zoo yycflood']",sadness
166,14,166_alternativi_tilt_numeri_emeregenze,"['alternativi', 'tilt', 'numeri', 'emeregenze', 'olbia', 'funziona', 'il', 'sardegna', 'sardinien', 'non']","['rt : olbia il non funziona. numeri alternativi per emeregenze: / , / e / sardegna', 'rt : zona di olbia il è in tilt. numeri alternativi: / , / e / . allertameteosar sardegna', 'olbia il è in tilt!il numeri alternativi per le emeregenze: / , / e / sardegna allertameteosar']",trust
167,14,167_mcdonald_noodles_rice_etc,"['mcdonald', 'noodles', 'rice', 'etc', 'accepting', 'stores', 'canned', 'open', 'kind', 'vi']","[""rt : mcdonald's stores open in metro manila are now accepting donations in kind (rice, noodles, canned goods, etc.) for flood vi ..."", ""rt : mcdonald's stores open in metro manila are now accepting donations in kind (rice, noodles, canned goods, etc.) for flood vi ..."", ""rt : mcdonald's stores open in metro manila are now accepting donations in kind (rice, noodles, canned goods, etc.) for flood vi ...""]",trust
168,14,168_chinese_france_billionaire_french,"['chinese', 'france', 'billionaire', 'french', 'feared', 'magnate', 'hotelier', 'bordeaux', 'helicopter', 'vineyard']","['rt : chinese billionaire feared dead in france helicopter crash', 'chinese hotelier feared dead in french helicopter crash: bordeaux, france (reuters) - a chinese hotel magnate ...', 'chinese hotelier feared dead in french helicopter crash: bordeaux, france (reuters) - a chinese hotel magnate ...']",sadness
169,14,169_funds_raise_guys_let,"['funds', 'raise', 'guys', 'let', 'need', 'those', 'guatemala', 'help', 'earthquake', 'for']","[""rt : guys, let's help raise funds for the for those in need in the guatemala earthquake"", ""rt : guys, let's help raise funds for the for those in need in the guatemala earthquake"", ""rt : guys, let's help raise funds for the for those in need in the guatemala earthquake""]",anticipation
170,14,170_dancing_terremoto_busto_utcwednesday,"['dancing', 'terremoto', 'busto', 'utcwednesday', 'tyra', 'arsizio', 'september', 'kenai', 'owen', 'utcthursday']","['terremoto m . , central california - wednesday, september , : : utcwednesday, september , : ...', 'terremoto m . , kenai peninsula, alaska - thursday, may , : : utcthursday, may , : : am at...', 'terremoto i hate dancing at am, so i never go to clubs. then you wake up and your bed, doors and whole building are dancing with you. o.o']",trust
171,14,171_hi_unt_donation_hashtag,"['hi', 'unt', 'donation', 'hashtag', 'every', 'tweet', 'retweet', 'pls', 'can', 'rescueph']","['rt : hi , can every tweet with hashtag rescueph be a $ donation to the philippines victims? - pls retweet this unt ...', 'rt : hi , can every tweet with hashtag rescueph be a $ donation to the philippines victims? - pls retweet this unt ...', 'rt : hi , can every tweet with hashtag rescueph be a $ donation to the philippines victims? - pls retweet this unt ...']",anticipation
172,13,172_suspensions_walangpasok_safenow_rescued,"['suspensions', 'walangpasok', 'safenow', 'rescued', 'class', 'floodph', 've', 'reminders', 'work', 'been']","[""rt : reminders: check walangpasok for class/work suspensions; use rescueph for help; safenow if you've been rescued; floodph …"", ""rt : reminders: check walangpasok for class/work suspensions; use rescueph for help; safenow if you've been rescued; floodph for…"", ""rt : reminders: check walangpasok for class/work suspensions; use rescueph for help; safenow if you've been rescued; floodph for…""]",trust
173,13,173_ka_pabloph_brother_mayati,"['ka', 'pabloph', 'brother', 'mayati', 'kos', 'brotherlove', 'sakong', 'nah', 'grabe', 'older']","['pabloph grabe ka.. visayas talaga ha!', 'photo: mayati-an kos ka feeling older brother sakong little brother. hahaha!! pabloph brotherlove', 'mayati-an kos ka feeling older brother sakong little brother. hahaha!! pabloph brotherlove']",joy
174,13,174_fufu_channels_phone_tv,"['fufu', 'channels', 'phone', 'tv', 'cell', 'easiest', 'your', 'rescueph', 'way', 'on']","['rescueph tv channels on your cell phone? fufu', 'rescueph tv channels on your cell phone? fufu', 'rescueph tv channels on your cell phone? fufu']",anticipation
175,13,175_geológico_servicio_estados_unidos,"['geológico', 'servicio', 'estados', 'unidos', 'según', 'sacudió', 'urgente', 'magnitud', 'costarica', 'un']","['rt : urgente: un terremoto de magnitud , sacudió costarica, según el servicio geológico de estados unidos.', 'rt : urgente: un terremoto de magnitud , sacudió costarica, según el servicio geológico de estados unidos.', 'rt : urgente: un terremoto de magnitud , sacudió costarica, según el servicio geológico de estados unidos.']",trust
176,13,176_rain_thunder_well_prepared,"['rain', 'thunder', 'well', 'prepared', 'raining', 'stuck', 'circulation', 'funsunday', 'lovedones', 'skyrim']","[""guys, it's always better to be prepared. it may be quite sunny and dry at this time but remember, yolandaph's rain circulation is big."", ""the thunder's getting louder and the rain's not showing signs of stopping. we hope everyone's safe and with their loved ones reliefph"", ""dear weather gods - i'm not sure longmont is ready for the thunder and lightning and rain just yet. maybe hold off another week or ?""]",trust
177,13,177_maringph_essenti_help_reliefph,"['maringph', 'essenti', 'help', 'reliefph', 'mcdo', 'meals', 'blanket', 'donating', 'providing', 'online']","['rt : help maringph affected families. donate online help in providing food water, blanket,and essenti…', 'rt : help victims of maringph by donating goods in kind to any mcdo store located in mm starting today until aug reliefph', 'rt: help victims of maringph by donating goods in kind to any mcdo store located in mm starting today until aug reliefph']",trust
178,13,178_est_qld_warning_flood,"['est', 'qld', 'warning', 'flood', 'rivers', 'river', 'macintyre', 'bom', 'weir', 'fitzroy']","['rt : / : est flood warning - mary river (qld)', '/ : est flood warning - mary river (qld)', 'qld / : est flood warning - macintyre, weir &amp; border rivers (qld): qld / : est flood warning - macin...']",anger
179,13,179_queries_airs_technology_nyc,"['queries', 'airs', 'technology', 'nyc', 'derailment', 'about', 'train', 'jamaicaobserver', 'comcast', 'recorders']","['nyc train derailment airs queries about technology', 'nyc train derailment airs queries about technology', 'nyc train derailment airs queries about technology']",anticipation
180,13,180_positive_genesis_pinoys_promised,"['positive', 'genesis', 'pinoys', 'promised', 'panic', 'never', 'think', 'again', 'don', 'god']","[""rt : don't panic to this genesis : - god promised to never do that again. think positive, be positive.! pinoys!! rescueph"", ""rt : don't panic to this genesis : - god promised to never do that again. think positive, be positive.! pinoys!! rescueph"", ""rt : don't panic to this genesis : - god promised to never do that again. think positive, be positive.! pinoys!! rescueph""]",trust
181,13,181_hotlines_maringph_sagip_kapamilya,"['hotlines', 'maringph', 'sagip', 'kapamilya', 'assistance', 'pnp', 'anyone', 'bacoor', 'needs', 'or']","['rt : if anyone needs help or assistance, the sagip kapamilya hotlines are and . maringph ha…', 'rt : if anyone needs help or assistance, the sagip kapamilya hotlines are and . maringph ha…', 'rt : if anyone needs help or assistance, the sagip kapamilya hotlines are and . maringph ha…']",trust
182,12,182_northern_italy_bologna_km,"['northern', 'italy', 'bologna', 'km', 'may', 'ago', 'nnw', 'epicenter', 'depth', 'earthquake']","['rt : . earthquake, northern italy. may : am at epicenter ( m ago, km nnw of bologna, depth . km). ...', 'rt : . earthquake, northern italy. may : pm at epicenter ( m ago, km n of bologna, depth . km). ...', 'rt : . earthquake, northern italy. may : pm at epicenter ( h: m ago, km n of bologna, depth km). ...']",trust
183,12,183_insurance_claims_ama_sewer,"['insurance', 'claims', 'ama', 'sewer', 'exist', 'backup', 'td', 'flood', 'homes', 'cover']","['flood insurance - worth the investment? coflood flood insurance', ""rt : ama tells me most people with flooded homes will not have insurance since flood insurance doesn't exist for homes in canada"", ""rt : ama tells me most people with flooded homes will not have insurance since flood insurance doesn't exist for homes in canada""]",trust
184,12,184_villa_euros_david_millones,"['villa', 'euros', 'david', 'millones', 'donado', 'ayudar', 'afectados', 'tragedia', 'compostela', 'ha']","['rt : david villa ha donado millones de euros para ayudar a los afectados en la tragedia del tren en santiago de compostela.…', 'rt : david villa ha donado millones de euros para ayudar a los afectados en la tragedia del tren en santiago de compostela.…', 'rt : david villa ha donado millones de euros para ayudar a los afectados en la tragedia del tren en santiago de compostela.…']",trust
185,12,185_caucasus_bombing_chechen_boston,"['caucasus', 'bombing', 'chechen', 'boston', 'chechnya', 'czech', 'terrorism', 'glad', 'website', 'suspects']","['rt : attention, racists: the boston bombing suspects are from the actual caucasus region, meaning they literally could n ...', ""rt : afp: ''north caucasus rebels deny link to boston attack: website'': a website used by russia's north caucasus..."", 'boston bombing stirs echoes of unrest in caucasus: kizilyurt, russia — with an automatic weapon at his side an...']",trust
186,12,186_coordinate_hashtags_philippine_efforts,"['coordinate', 'hashtags', 'philippine', 'efforts', 'relief', 'midst', 'floods', 'help', 'widespread', 'socialmedia']","['hashtags help coordinate relief efforts in philippine floods: more about: philippines, disaster relief, flooding', 'rt : hashtags help coordinate relief efforts in philippine floods -', 'hashtags help coordinate relief efforts in philippine floods']",trust
187,12,187_kitchen_hs_ateneo_food,"['kitchen', 'hs', 'ateneo', 'food', 'containers', 'cooking', 'rice', 'reliefph', 'cooked', 'styro']","['rt : ateneo hs reliefph kitchen. urgent need: trash bags, food containers, cooking oil and sporks. pls come w caps/head ...', 'pls rt. super urgent. the ateneo hs reliefph kitchen badly needs food containers (paper, kung pwede. ok na styro or microwave plastic).', 'rt : pls rt. super urgent. the ateneo hs reliefph kitchen badly needs food containers (paper, kung pwede. ok na styro or ...']",trust
188,12,188_naliligo_hampaslupang_ginagawang_dahilan,"['naliligo', 'hampaslupang', 'ginagawang', 'dahilan', 'ito', 'ay', 'hindi', 'pa', 'tweet', 'mga']","['rt : ang tweet na ito ay para sa mga hampaslupang hindi pa naliligo at ginagawang dahilan si maringph.', 'rt : ang tweet na ito ay para sa mga hampaslupang hindi pa naliligo at ginagawang dahilan si maringph.', 'rt : ang tweet na ito ay para sa mga hampaslupang hindi pa naliligo at ginagawang dahilan si maringph.']",surprise
189,12,189_clube_prayforsa_envio_minhas,"['clube', 'prayforsa', 'envio', 'minhas', 'orações', 'vocês', 'meu', 'coração', 'brasil', 'vítimas']","['rt : envio minhas orações para as vítimas do incêndio no clube em santamaria. o meu coração está com vocês brasil. prayforsa ...', 'rt : envio minhas orações para as vítimas do incêndio no clube em santamaria. o meu coração está com vocês brasil. prayforsa ...', 'rt : envio minhas orações para as vítimas do incêndio no clube em santamaria. o meu coração está com vocês brasil. prayforsa ...']",trust
190,12,190_imágenes_accidente_compostela_santiago,"['imágenes', 'accidente', 'compostela', 'santiago', 'tren', 'airstar', 'en', 'de', 'el', 'escalofriantes']","['rt : el accidente de tren en santiago de compostela en imágenes', 'rt : el accidente de tren en santiago de compostela en imágenes', 'rt : el accidente de tren en santiago de compostela en imágenes']",trust
191,11,191_lobang_right_abtm_sghaze,"['lobang', 'right', 'abtm', 'sghaze', 'was', 'true', 'ahahahahahaha', 'yell', 'omgoshh', 'credits']","['rt : lobang was right. sghaze', 'rt : lobang was right. sghaze', 'rt : lobang was right. sghaze']",trust
192,11,192_southwest_monsoon_enhanced_system,"['southwest', 'monsoon', 'enhanced', 'system', 'rainfall', 'habagat', 'weather', 'tropical', 'storm', 'warning']","['rt : red rainfall warning no. a weather system: southwest monsoon ( habagat) enhanced by tropical storm...', 'rt : red rainfall warning no. a weather system: southwest monsoon ( habagat) enhanced by tropical storm...', 'rt : red rainfall warning no. a weather system: southwest monsoon ( habagat) enhanced by tropical storm...']",trust
193,11,193_dakpin_dalhin_china_facundo,"['dakpin', 'dalhin', 'china', 'facundo', 'inyo', 'sa', 'hiya', 'inangkin', 'hiyang', 'eto']","['rt : facundo! dakpin si pabloph , dalhin sa china!', 'rt : facundo! dakpin si pabloph , dalhin sa china!', 'rt : facundo! dakpin si pabloph , dalhin sa china!']",trust
194,11,194_nursery_floor_uerm_rd,"['nursery', 'floor', 'uerm', 'rd', 'almost', 'whole', 'where', 'rescuers', 'needs', 'day']","['rt : uerm really needs help!! flood is almost at rd floor where the nursery is. no rescuers the whole day. rescueph', 'rt : uerm really needs help!! flood is almost at rd floor where the nursery is. no rescuers the whole day. rescueph', 'rt : uerm really needs help!! flood is almost at rd floor where the nursery is. no rescuers the whole day. rescueph']",sadness
195,11,195_africa_eruption_snow_drought,"['africa', 'eruption', 'snow', 'drought', 'volcanic', 'zealand', 'america', 'manila', 'seriously', 'century']","[""rt : snow in africa. drought in america. flood in manila. volcanic eruption in new zealand. seriously, what's next? :("", ""rt : snow in africa. drought in america. flood in manila. volcanic eruption in new zealand. seriously, what's next? :("", ""rt : “ : snow in africa. drought in america. flood in manila. volcanic eruption in new zealand. seriously, what's ...""]",anticipation
196,11,196_syria_palestine_kashmir_pakistan,"['syria', 'palestine', 'kashmir', 'pakistan', 'iraq', 'somalia', 'nigeria', 'muslim', 'yemen', 'prayfortheummah']","['rt : prayfortheummah syria rohingya ( burma) palestine kashmir iraq afghanistan nigeria bangladesh muslim and more...', 'rt : prayfortheummah syria rohingya ( burma) palestine kashmir iraq afghanistan nigeria bangladesh muslim and more...', 'rt : prayfortheummah syria rohingya ( burma) palestine kashmir iraq afghanistan nigeria bangladesh muslim and more...']",trust
197,11,197_cebu_earthquakeph_aftershock_bohol,"['cebu', 'earthquakeph', 'aftershock', 'bohol', 'abagsugbohol', 'coelho', 'bcd', 'sleeep', 'grabbed', 'visayanearthquake']","['earlier... evacuees earthquakeph cebu hrs of sleeep lang! trauma aftershocks', ""here's the complete story... cebu bohol visayanearthquake earthquakeph"", 'rt : “if pain must come, may it come quickly. ―paulo coelho bohol cebu earthquake personal fave photo baclayon church http…']",trust
198,11,198_thunderstorm_vprsd_oct_advisory,"['thunderstorm', 'vprsd', 'oct', 'advisory', 'expect', 'over', 'affecting', 'cebu', 'pm', 'balamaban']","[""[dost-pagasa] thunderstorm advisory no. vprsd : pm ( oct' ) expect thunderstorm over cebu (balamaban..."", ""rt : thunderstorm advisory no. vprsd : pm ( oct' ) expect thunderstorm over cebu (balamaban, toledo,..."", ""rt : thunderstorm advisory no. vprsd : am ( oct' ) expect thunderstorm over cebu ( pinamungahan,...""]",joy
199,11,199_forgot_protecting_busy_protect,"['forgot', 'protecting', 'busy', 'protect', 'earthqu', 'churches', 'destroyed', 'his', 'because', 'god']","['rt : churches were destroyed because god was too busy protecting our home that he forgot to protect his. prayforvisayas earthqu…', 'rt : churches were destroyed because god was too busy protecting our home that he forgot to protect his. prayforvisayas earthqu…', 'rt : churches were destroyed because god was too busy protecting our home that he forgot to protect his. prayforvisayas earthqu…']",sadness
200,10,200_aeropuerto_ángeles_tiroteo_corriente,"['aeropuerto', 'ángeles', 'tiroteo', 'corriente', 'atacar', 'mostrar', 'muchacho', 'arma', 'parece', 'piso']","['rt : estados unidos: reportan tiroteo en aeropuerto de los ángeles lax', 'rt : esta foto obtenida por cnn parece mostrar un arma en el piso en el aeropuerto de los ángeles lax', 'y los filtros? :( : parece mostrar un arma en el piso en el aeropuerto de los ángeles lax']",trust
201,10,201_alberta_yycflood_geddon_supportive,"['alberta', 'yycflood', 'geddon', 'supportive', 'effortlessly', 'albertafloods', 'thoughts', 'immensely', 'dub', 'judges']","['our thoughts are with everyone in alberta effected by the yycflood. staysafe', 'rt : our thoughts are with the and everyone in alberta affected by the yycflood.', 'rt : our thoughts are with the and everyone in alberta affected by the yycflood.']",trust
202,10,202_north_metro_bloomberg_crash,"['north', 'metro', 'bloomberg', 'crash', 'ordered', 'woes', 'spate', 'outer', 'routine', 'absence']","['bloomberg mia after metro north crash??', ""mayor bloomberg won't say where he was, but defends absence from metro-north crash site"", 'after fatal crash, metro-north is ordered to make safety changes - new york times']",sadness
203,10,203_centri_raccolta_invio_saturi,"['centri', 'raccolta', 'invio', 'saturi', 'aiuti', 'sospendere', 'allertameteosar', 'di', 'protezione', 'interrompere']","['rt : centri raccolta saturi: protezione civile sardegna invita ad interrompere invio di aiuti ai centri', 'rt : alluvione sardegna protezione civile chiede sospendere invio aiuti: centri raccolta per ora sono saturi allertameteosar', 'alluvione sardegna - protezione civile invita a sospendere invio aiuti: centri raccolta saturi allertameteosar']",trust
